devontown,agenew,count(borrower)
0,,3318
0,0,118
0,1,352
0,10,810
0,100,1
0,101,3
0,105,2
0,11,769
0,112,2
0,114,7
0,115,12
0,116,25
0,12,680
0,13,603
0,14,516
0,15,469
0,16,428
0,17,510
0,18,692
0,19,661
0,2,515
0,20,771
0,21,832
0,22,966
0,23,1085
0,24,1082
0,25,1073
0,26,1069
0,27,1101
0,28,1262
0,29,1166
0,3,627
0,30,1158
0,31,1074
0,32,1062
0,33,1001
0,34,1062
0,35,986
0,36,984
0,37,996
0,38,889
0,39,811
0,4,774
0,40,842
0,41,787
0,42,738
0,43,729
0,44,713
0,45,689
0,46,681
0,47,604
0,48,598
0,49,591
0,5,834
0,50,526
0,51,549
0,52,555
0,53,552
0,54,448
0,55,425
0,56,469
0,57,430
0,58,419
0,59,446
0,6,859
0,60,429
0,61,401
0,62,414
0,63,433
0,64,432
0,65,472
0,66,442
0,67,419
0,68,449
0,69,465
0,7,913
0,70,477
0,71,329
0,72,331
0,73,284
0,74,265
0,75,268
0,76,230
0,77,206
0,78,189
0,79,142
0,8,892
0,80,159
0,81,126
0,82,126
0,83,104
0,84,87
0,85,86
0,86,83
0,87,69
0,88,62
0,89,25
0,9,865
0,90,34
0,91,32
0,92,30
0,93,16
0,94,20
0,95,8
0,96,12
0,97,5
0,98,2
0,99,3
Ashburton/Buckfastleigh,,200
Ashburton/Buckfastleigh,0,8
Ashburton/Buckfastleigh,1,13
Ashburton/Buckfastleigh,10,68
Ashburton/Buckfastleigh,11,96
Ashburton/Buckfastleigh,112,1
Ashburton/Buckfastleigh,115,1
Ashburton/Buckfastleigh,12,81
Ashburton/Buckfastleigh,13,63
Ashburton/Buckfastleigh,14,54
Ashburton/Buckfastleigh,15,50
Ashburton/Buckfastleigh,16,49
Ashburton/Buckfastleigh,17,31
Ashburton/Buckfastleigh,18,34
Ashburton/Buckfastleigh,19,27
Ashburton/Buckfastleigh,2,22
Ashburton/Buckfastleigh,20,33
Ashburton/Buckfastleigh,21,23
Ashburton/Buckfastleigh,22,29
Ashburton/Buckfastleigh,23,30
Ashburton/Buckfastleigh,24,34
Ashburton/Buckfastleigh,25,29
Ashburton/Buckfastleigh,26,24
Ashburton/Buckfastleigh,27,26
Ashburton/Buckfastleigh,28,36
Ashburton/Buckfastleigh,29,30
Ashburton/Buckfastleigh,3,42
Ashburton/Buckfastleigh,30,42
Ashburton/Buckfastleigh,31,27
Ashburton/Buckfastleigh,32,33
Ashburton/Buckfastleigh,33,42
Ashburton/Buckfastleigh,34,29
Ashburton/Buckfastleigh,35,35
Ashburton/Buckfastleigh,36,34
Ashburton/Buckfastleigh,37,47
Ashburton/Buckfastleigh,38,34
Ashburton/Buckfastleigh,39,35
Ashburton/Buckfastleigh,4,62
Ashburton/Buckfastleigh,40,32
Ashburton/Buckfastleigh,41,49
Ashburton/Buckfastleigh,42,39
Ashburton/Buckfastleigh,43,43
Ashburton/Buckfastleigh,44,49
Ashburton/Buckfastleigh,45,51
Ashburton/Buckfastleigh,46,43
Ashburton/Buckfastleigh,47,53
Ashburton/Buckfastleigh,48,43
Ashburton/Buckfastleigh,49,46
Ashburton/Buckfastleigh,5,55
Ashburton/Buckfastleigh,50,42
Ashburton/Buckfastleigh,51,56
Ashburton/Buckfastleigh,52,37
Ashburton/Buckfastleigh,53,47
Ashburton/Buckfastleigh,54,37
Ashburton/Buckfastleigh,55,34
Ashburton/Buckfastleigh,56,29
Ashburton/Buckfastleigh,57,31
Ashburton/Buckfastleigh,58,34
Ashburton/Buckfastleigh,59,31
Ashburton/Buckfastleigh,6,61
Ashburton/Buckfastleigh,60,37
Ashburton/Buckfastleigh,61,29
Ashburton/Buckfastleigh,62,30
Ashburton/Buckfastleigh,63,34
Ashburton/Buckfastleigh,64,41
Ashburton/Buckfastleigh,65,38
Ashburton/Buckfastleigh,66,38
Ashburton/Buckfastleigh,67,47
Ashburton/Buckfastleigh,68,36
Ashburton/Buckfastleigh,69,37
Ashburton/Buckfastleigh,7,75
Ashburton/Buckfastleigh,70,36
Ashburton/Buckfastleigh,71,33
Ashburton/Buckfastleigh,72,27
Ashburton/Buckfastleigh,73,28
Ashburton/Buckfastleigh,74,25
Ashburton/Buckfastleigh,75,18
Ashburton/Buckfastleigh,76,21
Ashburton/Buckfastleigh,77,11
Ashburton/Buckfastleigh,78,14
Ashburton/Buckfastleigh,79,7
