imd2015,agenew,count(borrower)
1,,267
1,0,3
1,1,22
1,10,57
1,101,1
1,102,1
1,11,58
1,112,1
1,114,1
1,115,1
1,116,1
1,12,58
1,13,51
1,14,36
1,15,34
1,16,30
1,17,58
1,18,59
1,19,55
1,2,27
1,20,75
1,21,88
1,22,95
1,23,114
1,24,95
1,25,88
1,26,116
1,27,111
1,28,136
1,29,108
1,3,25
1,30,98
1,31,104
1,32,87
1,33,93
1,34,86
1,35,73
1,36,70
1,37,68
1,38,64
1,39,68
1,4,38
1,40,54
1,41,72
1,42,47
1,43,65
1,44,63
1,45,74
1,46,68
1,47,62
1,48,64
1,49,55
1,5,54
1,50,57
1,51,57
1,52,58
1,53,66
1,54,48
1,55,38
1,56,51
1,57,42
1,58,48
1,59,48
1,6,42
1,60,45
1,61,50
1,62,46
1,63,34
1,64,50
1,65,47
1,66,41
1,67,46
1,68,43
1,69,41
1,7,59
1,70,36
1,71,37
1,72,32
1,73,23
1,74,22
1,75,33
1,76,17
1,77,16
1,78,17
1,79,16
1,8,58
1,80,18
1,81,10
1,82,9
1,83,7
1,84,9
1,85,4
1,86,6
1,87,9
1,88,3
1,89,8
1,9,53
1,90,4
1,91,2
1,92,3
1,93,1
1,94,3
1,96,1
1,97,2
1,99,1
10,,1751
10,0,28
10,1,72
10,10,267
10,100,1
10,11,243
10,112,1
10,115,7
10,116,9
10,12,234
10,13,220
10,14,188
10,15,167
10,16,146
10,17,141
10,18,178
10,19,145
10,2,110
10,20,125
10,21,110
10,22,130
10,23,94
10,24,118
10,25,113
10,26,119
10,27,103
10,28,157
10,29,103
10,3,170
10,30,100
10,31,112
10,32,99
10,33,131
10,34,116
10,35,139
10,36,150
10,37,143
10,38,154
10,39,132
10,4,206
10,40,156
10,41,143
10,42,173
10,43,140
10,44,146
10,45,166
10,46,138
10,47,126
10,48,136
10,49,113
10,5,203
10,50,127
10,51,107
10,52,102
10,53,98
10,54,117
10,55,86
10,56,120
10,57,94
10,58,111
10,59,106
10,6,234
10,60,119
10,61,127
10,62,109
10,63,134
10,64,114
10,65,148
10,66,163
10,67,170
10,68,147
10,69,183
10,7,263
10,70,188
10,71,143
10,72,165
10,73,125
10,74,120
10,75,86
10,76,88
10,77,102
10,78,97
10,79,82
10,8,248
10,80,79
10,81,55
10,82,71
10,83,61
10,84,40
10,85,53
10,86,54
10,87,51
10,88,36
10,89,33
10,9,290
10,90,30
10,91,24
10,92,6
10,93,10
10,94,13
10,95,9
10,96,5
10,97,5
10,98,1
10,99,2
2,,677
2,0,13
2,1,44
2,10,222
2,106,1
2,11,172
2,112,1
2,114,1
2,116,1
2,12,180
2,13,172
2,14,139
2,15,138
2,16,135
2,17,118
2,18,161
2,19,164
2,2,85
2,20,176
2,21,195
2,22,236
2,23,266
2,24,246
2,25,271
2,26,276
2,27,273
2,28,291
2,29,287
2,3,118
2,30,272
2,31,243
2,32,235
2,33,210
2,34,221
2,35,221
2,36,216
2,37,206
2,38,176
2,39,171
2,4,176
2,40,176
2,41,146
2,42,141
2,43,134
2,44,154
2,45,143
2,46,145
2,47,131
2,48,118
2,49,136
2,5,188
2,50,145
2,51,111
2,52,123
2,53,113
2,54,110
2,55,90
2,56,123
2,57,90
2,58,110
2,59,105
2,6,195
2,60,114
2,61,79
2,62,94
2,63,100
2,64,92
2,65,93
2,66,93
2,67,105
2,68,83
2,69,93
2,7,203
2,70,98
2,71,64
2,72,65
2,73,62
2,74,57
2,75,39
2,76,37
2,77,33
2,78,37
2,79,39
2,8,193
2,80,39
2,81,25
2,82,27
2,83,19
2,84,20
2,85,21
2,86,23
2,87,20
2,88,11
2,89,6
2,9,207
2,90,7
2,91,7
2,92,5
2,93,6
2,94,4
2,95,5
2,96,3
2,97,4
2,98,1
3,,1634
3,0,31
3,1,104
3,10,443
3,100,1
3,101,2
3,11,434
3,113,1
3,114,1
3,115,5
3,116,8
3,12,400
3,13,389
3,14,338
3,15,262
3,16,260
3,17,282
3,18,277
3,19,285
3,2,171
3,20,348
3,21,322
3,22,391
3,23,370
3,24,400
3,25,371
3,26,362
3,27,401
3,28,429
3,29,391
3,3,234
3,30,420
3,31,380
3,32,363
3,33,358
3,34,366
3,35,357
3,36,367
3,37,331
3,38,336
3,39,316
3,4,335
3,40,265
3,41,282
3,42,287
3,43,280
3,44,268
3,45,265
3,46,231
3,47,253
3,48,243
3,49,244
3,5,370
3,50,260
3,51,229
3,52,228
3,53,216
3,54,201
3,55,194
3,56,206
3,57,188
3,58,199
3,59,178
3,6,384
3,60,170
3,61,155
3,62,162
3,63,183
3,64,178
3,65,167
3,66,158
3,67,170
3,68,192
3,69,211
3,7,433
3,70,137
3,71,144
3,72,133
3,73,129
3,74,88
3,75,114
3,76,91
3,77,95
3,78,78
3,79,52
3,8,434
3,80,59
3,81,49
3,82,57
3,83,56
3,84,41
3,85,37
3,86,36
3,87,35
3,88,28
3,89,29
3,9,406
3,90,22
3,91,20
3,92,15
3,93,7
3,94,4
3,95,8
3,96,6
3,98,3
3,99,1
4,,3359
4,0,87
4,1,239
4,10,962
4,100,1
4,101,2
4,102,1
4,104,1
4,106,1
4,11,966
4,112,4
4,113,3
4,114,3
4,115,5
4,116,20
4,12,922
4,13,792
4,14,717
4,15,640
4,16,557
4,17,584
4,18,623
4,19,533
4,2,409
4,20,624
4,21,565
4,22,652
4,23,571
4,24,668
4,25,758
4,26,683
4,27,731
4,28,1006
4,29,762
4,3,612
4,30,746
4,31,757
4,32,717
4,33,719
4,34,661
4,35,676
4,36,732
4,37,713
4,38,630
4,39,595
4,4,754
4,40,626
4,41,569
4,42,625
4,43,542
4,44,601
4,45,615
