name,agenew,count(borrower)
#NAME?,,2341
#NAME?,0,36
#NAME?,1,45
#NAME?,10,66
#NAME?,100,1
#NAME?,102,1
#NAME?,103,2
#NAME?,106,2
#NAME?,11,68
#NAME?,112,1
#NAME?,113,1
#NAME?,114,2
#NAME?,115,2
#NAME?,116,2
#NAME?,12,73
#NAME?,13,59
#NAME?,14,62
#NAME?,15,60
#NAME?,16,56
#NAME?,17,60
#NAME?,18,51
#NAME?,19,16
#NAME?,2,37
#NAME?,20,16
#NAME?,21,8
#NAME?,22,13
#NAME?,23,5
#NAME?,24,21
#NAME?,25,13
#NAME?,26,49
#NAME?,27,10
#NAME?,28,70
#NAME?,29,18
#NAME?,3,62
#NAME?,30,19
#NAME?,31,17
#NAME?,32,18
#NAME?,33,21
#NAME?,34,26
#NAME?,35,31
#NAME?,36,38
#NAME?,37,37
#NAME?,38,44
#NAME?,39,21
#NAME?,4,63
#NAME?,40,34
#NAME?,41,36
#NAME?,42,37
#NAME?,43,28
#NAME?,44,29
#NAME?,45,30
#NAME?,46,46
#NAME?,47,30
#NAME?,48,25
#NAME?,49,31
#NAME?,5,69
#NAME?,50,24
#NAME?,51,44
#NAME?,52,34
#NAME?,53,30
#NAME?,54,19
#NAME?,55,34
#NAME?,56,63
#NAME?,57,44
#NAME?,58,38
#NAME?,59,35
#NAME?,6,70
#NAME?,60,55
#NAME?,61,48
#NAME?,62,66
#NAME?,63,80
#NAME?,64,61
#NAME?,65,85
#NAME?,66,102
#NAME?,67,126
#NAME?,68,128
#NAME?,69,147
#NAME?,7,82
#NAME?,70,124
#NAME?,71,119
#NAME?,72,117
#NAME?,73,116
#NAME?,74,104
#NAME?,75,85
#NAME?,76,134
#NAME?,77,90
#NAME?,78,92
#NAME?,79,81
#NAME?,8,66
#NAME?,80,82
#NAME?,81,87
#NAME?,82,69
#NAME?,83,65
#NAME?,84,93
#NAME?,85,52
#NAME?,86,73
#NAME?,87,65
#NAME?,88,56
#NAME?,89,41
#NAME?,9,72
#NAME?,90,44
#NAME?,91,30
#NAME?,92,22
#NAME?,93,13
#NAME?,94,16
#NAME?,95,12
#NAME?,96,9
#NAME?,97,10
#NAME?,98,1
APPLEDORE,,70
APPLEDORE,0,2
APPLEDORE,1,2
APPLEDORE,10,23
APPLEDORE,11,12
APPLEDORE,12,6
APPLEDORE,13,10
APPLEDORE,14,12
APPLEDORE,15,10
APPLEDORE,16,14
APPLEDORE,17,14
APPLEDORE,18,4
APPLEDORE,19,5
APPLEDORE,2,6
APPLEDORE,20,2
APPLEDORE,21,7
APPLEDORE,23,3
APPLEDORE,24,5
APPLEDORE,25,4
APPLEDORE,26,3
APPLEDORE,27,4
APPLEDORE,28,12
APPLEDORE,29,7
APPLEDORE,3,5
APPLEDORE,30,2
APPLEDORE,31,3
APPLEDORE,32,2
APPLEDORE,33,5
APPLEDORE,34,5
APPLEDORE,35,10
APPLEDORE,36,5
APPLEDORE,37,3
APPLEDORE,38,13
APPLEDORE,39,10
APPLEDORE,4,10
APPLEDORE,40,4
APPLEDORE,41,2
APPLEDORE,42,13
APPLEDORE,43,4
APPLEDORE,44,3
APPLEDORE,45,10
APPLEDORE,46,8
APPLEDORE,47,10
APPLEDORE,48,8
APPLEDORE,49,12
APPLEDORE,5,9
APPLEDORE,50,9
APPLEDORE,51,11
APPLEDORE,52,7
APPLEDORE,53,15
APPLEDORE,54,13
APPLEDORE,55,8
APPLEDORE,56,11
APPLEDORE,57,9
APPLEDORE,58,7
APPLEDORE,59,9
APPLEDORE,6,13
APPLEDORE,60,13
APPLEDORE,61,8
APPLEDORE,62,20
APPLEDORE,63,18
APPLEDORE,64,14
APPLEDORE,65,22
APPLEDORE,66,20
APPLEDORE,67,22
APPLEDORE,68,21
APPLEDORE,69,19
APPLEDORE,7,13
APPLEDORE,70,20
APPLEDORE,71,21
APPLEDORE,72,17
APPLEDORE,73,11
APPLEDORE,74,12
APPLEDORE,75,7
APPLEDORE,76,10
APPLEDORE,77,10
APPLEDORE,78,3
APPLEDORE,79,10
APPLEDORE,8,14
APPLEDORE,80,5
APPLEDORE,81,6
APPLEDORE,82,5
APPLEDORE,83,2
APPLEDORE,84,7
APPLEDORE,85,1
APPLEDORE,86,2
APPLEDORE,88,4
APPLEDORE,89,1
APPLEDORE,9,9
APPLEDORE,91,1
ASHBURTON,,118
ASHBURTON,0,2
ASHBURTON,1,7
ASHBURTON,10,42
ASHBURTON,11,34
ASHBURTON,12,43
ASHBURTON,13,30
ASHBURTON,14,26
ASHBURTON,15,17
ASHBURTON,16,18
ASHBURTON,17,13
ASHBURTON,18,16
ASHBURTON,19,13
ASHBURTON,2,12
ASHBURTON,20,10
ASHBURTON,21,8
ASHBURTON,22,8
ASHBURTON,23,14
ASHBURTON,24,9
ASHBURTON,25,14
ASHBURTON,26,11
ASHBURTON,27,11
ASHBURTON,28,13
ASHBURTON,29,8
ASHBURTON,3,21
ASHBURTON,30,21
ASHBURTON,31,12
ASHBURTON,32,9
ASHBURTON,33,19
ASHBURTON,34,14
ASHBURTON,35,14
ASHBURTON,36,19
ASHBURTON,37,24
ASHBURTON,38,22
ASHBURTON,39,16
ASHBURTON,4,30
ASHBURTON,40,17
ASHBURTON,41,22
ASHBURTON,42,25
ASHBURTON,43,16
ASHBURTON,44,26
ASHBURTON,45,21
ASHBURTON,46,27
ASHBURTON,47,25
ASHBURTON,48,15
ASHBURTON,49,18
ASHBURTON,5,33
ASHBURTON,50,23
ASHBURTON,51,26
ASHBURTON,52,18
ASHBURTON,53,18
ASHBURTON,54,19
ASHBURTON,55,13
ASHBURTON,56,17
ASHBURTON,57,15
ASHBURTON,58,22
ASHBURTON,59,16
ASHBURTON,6,33
ASHBURTON,60,27
ASHBURTON,61,15
ASHBURTON,62,17
ASHBURTON,63,22
ASHBURTON,64,26
ASHBURTON,65,22
ASHBURTON,66,18
ASHBURTON,67,24
ASHBURTON,68,20
ASHBURTON,69,29
ASHBURTON,7,45
ASHBURTON,70,17
ASHBURTON,71,16
ASHBURTON,72,14
ASHBURTON,73,21
ASHBURTON,74,16
ASHBURTON,75,11
ASHBURTON,76,13
ASHBURTON,77,11
ASHBURTON,78,10
ASHBURTON,79,5
ASHBURTON,8,29
ASHBURTON,80,7
ASHBURTON,81,5
ASHBURTON,82,3
ASHBURTON,83,4
ASHBURTON,84,4
ASHBURTON,85,3
ASHBURTON,86,2
ASHBURTON,88,1
ASHBURTON,89,3
ASHBURTON,9,37
ASHBURTON,90,3
ASHBURTON,92,3
ASHBURTON,93,1
ASHBURTON,94,1
ASHBURTON,95,2
ASHBURTON,99,2
AXMINSTER,,509
AXMINSTER,0,3
AXMINSTER,1,16
AXMINSTER,10,82
AXMINSTER,103,1
AXMINSTER,11,82
AXMINSTER,114,1
AXMINSTER,115,2
AXMINSTER,116,3
AXMINSTER,12,88
AXMINSTER,13,81
AXMINSTER,14,76
AXMINSTER,15,66
AXMINSTER,16,43
AXMINSTER,17,39
AXMINSTER,18,36
AXMINSTER,19,36
AXMINSTER,2,34
AXMINSTER,20,32
AXMINSTER,21,29
AXMINSTER,22,20
AXMINSTER,23,29
AXMINSTER,24,38
AXMINSTER,25,36
AXMINSTER,26,31
AXMINSTER,27,27
AXMINSTER,28,88
AXMINSTER,29,38
AXMINSTER,3,46
AXMINSTER,30,29
AXMINSTER,31,34
AXMINSTER,32,36
AXMINSTER,33,32
AXMINSTER,34,31
AXMINSTER,35,48
AXMINSTER,36,36
AXMINSTER,37,42
AXMINSTER,38,37
AXMINSTER,39,28
AXMINSTER,4,62
AXMINSTER,40,41
AXMINSTER,41,31
AXMINSTER,42,54
AXMINSTER,43,36
AXMINSTER,44,37
AXMINSTER,45,51
AXMINSTER,46,58
AXMINSTER,47,47
AXMINSTER,48,34
AXMINSTER,49,42
AXMINSTER,5,64
AXMINSTER,50,38
AXMINSTER,51,49
AXMINSTER,52,53
AXMINSTER,53,40
AXMINSTER,54,43
AXMINSTER,55,24
AXMINSTER,56,33
AXMINSTER,57,32
AXMINSTER,58,18
AXMINSTER,59,34
AXMINSTER,6,79
AXMINSTER,60,43
AXMINSTER,61,46
AXMINSTER,62,42
AXMINSTER,63,46
AXMINSTER,64,38
AXMINSTER,65,50
AXMINSTER,66,52
AXMINSTER,67,54
AXMINSTER,68,44
AXMINSTER,69,70
AXMINSTER,7,71
AXMINSTER,70,55
AXMINSTER,71,47
AXMINSTER,72,38
AXMINSTER,73,45
AXMINSTER,74,43
AXMINSTER,75,39
AXMINSTER,76,33
AXMINSTER,77,34
AXMINSTER,78,30
AXMINSTER,79,25
AXMINSTER,8,93
AXMINSTER,80,25
AXMINSTER,81,14
AXMINSTER,82,11
AXMINSTER,83,10
AXMINSTER,84,9
AXMINSTER,85,13
AXMINSTER,86,11
AXMINSTER,87,10
AXMINSTER,88,3
AXMINSTER,89,7
AXMINSTER,9,91
AXMINSTER,90,5
AXMINSTER,91,4
AXMINSTER,92,3
AXMINSTER,93,4
AXMINSTER,95,1
AXMINSTER,96,2
AXMINSTER,97,1
AXMINSTER,99,1
BAMPTON,,60
BAMPTON,10,12
BAMPTON,11,8
BAMPTON,12,6
BAMPTON,13,13
BAMPTON,14,5
BAMPTON,15,10
BAMPTON,16,4
BAMPTON,17,6
BAMPTON,18,4
BAMPTON,19,3
BAMPTON,20,2
BAMPTON,22,1
BAMPTON,23,2
BAMPTON,24,1
BAMPTON,25,4
BAMPTON,26,2
BAMPTON,27,2
BAMPTON,28,4
BAMPTON,29,2
BAMPTON,3,2
BAMPTON,31,1
BAMPTON,32,2
BAMPTON,33,5
BAMPTON,34,3
BAMPTON,35,1
BAMPTON,36,3
BAMPTON,37,5
BAMPTON,38,3
BAMPTON,39,2
BAMPTON,4,3
BAMPTON,40,2
BAMPTON,41,5
BAMPTON,42,1
BAMPTON,43,2
BAMPTON,44,2
BAMPTON,45,2
BAMPTON,46,2
BAMPTON,47,3
BAMPTON,48,4
BAMPTON,49,4
BAMPTON,5,9
BAMPTON,50,3
BAMPTON,51,4
BAMPTON,52,2
BAMPTON,53,6
BAMPTON,54,4
BAMPTON,55,2
BAMPTON,56,4
BAMPTON,57,1
BAMPTON,58,3
BAMPTON,59,4
BAMPTON,6,12
BAMPTON,60,8
BAMPTON,61,3
BAMPTON,62,6
BAMPTON,63,7
BAMPTON,64,5
BAMPTON,65,3
BAMPTON,66,5
BAMPTON,67,11
BAMPTON,68,9
BAMPTON,69,4
BAMPTON,7,10
BAMPTON,70,8
BAMPTON,71,4
BAMPTON,72,12
BAMPTON,73,8
BAMPTON,74,9
BAMPTON,75,5
BAMPTON,76,5
BAMPTON,77,4
BAMPTON,78,5
BAMPTON,79,8
BAMPTON,8,15
BAMPTON,80,1
BAMPTON,81,2
